ano,meta,tolerancia,inflacao_efetiva
2025,3.0,1.5,
2024,3.0,1.5,
2023,3.25,1.5,4.62
2022,3.5,1.5,5.79
2021,3.75,1.5,10.06
2020,4.0,1.5,4.52
2019,4.25,1.5,4.31
2018,4.5,1.5,3.75
2017,4.5,1.5,2.95
2016,4.5,2.0,6.29
2015,4.5,2.0,10.67
2014,4.5,2.0,6.41
2013,4.5,2.0,5.91
2012,4.5,2.0,5.84
2011,4.5,2.0,6.5
2010,4.5,2.0,5.91
2009,4.5,2.0,4.31
2008,4.5,2.0,5.9
2007,4.5,2.0,4.46
2006,4.5,2.0,3.14
2005,4.5,2.5,5.69
2004,5.5,2.5,7.6
2003,4.0,2.5,9.3
2002,3.5,2.0,12.53
2001,4.0,2.0,7.67
2000,6.0,2.0,5.97
1999,8.0,2.0,8.94
